Candidat	Frequence	Label
Lieutenant Alban Wellis	1	PER
Alban Wellis	1	PER
Cléon Eh	1	PER
Sire Ce	1	PER
Seldon ENCYCLOPAEDIA GALACTICA Goutte-de-Pluie Quarante-trois	1	PER
Livre Hari	1	PER
Sacratorium Quel	1	PER
Hari Elles	1	PER
Mycogène Il	1	PER
Quarantecinq	1	PER
Sacratorium Espérez-vous	1	PER
Espérez-vous	1	PER
Hari Imaginez	1	PER
Aviez-vous	1	PER
Dites-moi Mycélium Soixante-douze	1	PER
Lissauer Mentone Novigor Comme	1	PER
Mentone Novigor Comme	1	PER
Novigor Comme	1	PER
Venabili de Cinna Et	1	PER
Mycogène L'homme	1	PER
Sœurs Goutte-de-Pluie Moi	1	PER
Fuite Hari Seldon	1	PER
Wendome	1	PER
Eto Demerzel Ce	1	PER
Mycogène Y	1	PER
Mycogène Seldon	1	PER
AMARYL YUGO Mathématicien	1	PER
YUGO Mathématicien	1	PER
Mathématicien	1	PER
ENCYCLOPAEDIA GALACTICA L'Empereur	1	PER
GALACTICA L'Empereur	1	PER
Maire de Mycogène On	1	PER
Mycogène On	1	PER
Sire Ne	1	PER
Maître Seldon Maître Hummin	1	PER
Seldon Maître Hummin	1	PER
Anciens de Mycogène	1	PER
Trantor Hélicon	1	PER
Maître Seldon Seldon	1	PER
Trantor Parlez-m'en Trantor	1	PER
Parlez-m'en Trantor	1	PER
Hano Lindor Il	1	PER
Lindor Il	1	PER
Lindor Ce	1	PER
Lindor Je	1	PER
Casilia Elle	1	PER
Maîtresse Tisalver Voilà	1	PER
Maîtresse Tisalver Nous	1	PER
Grimace de Seldon Je	1	PER
Seldon Amaryl	1	PER
Amaryl J'ai	1	PER
Bigell	1	PER
Seldon Personne	1	PER
Trantor Ici	1	PER
ENCYCLOPAEDIA GALACTICA Quand Hari Seldon	1	PER
GALACTICA Quand Hari Seldon	1	PER
Raison	1	PER
Maître Seldon Évitez	1	PER
Maître Seldon Tisalver	1	PER
Seldon Tisalver	1	PER
Trantor Seldon	1	PER
Venabili de Cinna Eh	1	PER
Cinna Eh	1	PER
Maître Tisalver Et Maîtresse Celle-ci	1	PER
Tisalver Et Maîtresse Celle-ci	1	PER
Maîtresse Celle-ci	1	PER
Marlo Tanto	1	PER
Yugo Amaryl C'est	1	PER
Amaryl C'est	1	PER
Maître Davan Appelez-moi Davan	1	PER
Seldon Eh	1	PER
Policiers RAYCH D'après Hari Seldon	1	PER
RAYCH D'après Hari Seldon	1	PER
D'après Hari Seldon	1	PER
Trantor Bref Kan	1	PER
Hari L'obsession	1	PER
Russ Et	1	PER
Astinwald L'un	1	PER
Êtes-vous Hari Seldon	1	PER
Russ Oui Et	1	PER
Venabili de Cinna Oui	1	PER
Elgin Marron Votre	1	PER
Russ Pas	1	PER
Astinwald Appelez	1	PER
Maire de Dahl	1	PER
Mycogène Comment Hummin	1	PER
Galactique Kan	1	PER
Mannix IV Kan	1	PER
Emmer Thalus	1	PER
Hari Seldon Seldon	1	PER
Thalus Dites à Yugo Amaryl	1	PER
Hari Seldon Raych	1	PER
Rachelle N'est-ce	1	PER
Rachelle Nous	1	PER
Kanite	1	PER
Rachelle Elle	1	PER
Maire Restons-en à Rachelle J'ai	1	PER
Restons-en à Rachelle J'ai	1	PER
Rachelle J'ai	1	PER
Rachelle Eh	1	PER
Seldon Moi	1	PER
Seldon Ouais Elle	1	PER
D'ailleurs Kan	1	PER
Rachelle Ire	1	PER
Maire Mannix IV	1	PER
Trantor Peut-être	1	PER
Madame le Maire	1	PER
Adieu	1	PER
Seldon Sergent	1	PER
Reculez-vous Dors	1	PER
Seldon Celui-ci	1	PER
Seldon J'avais	1	PER
Mannix Rachelle Mais	1	PER
Rachelle Mais	1	PER
Rachelle Libre	1	PER
Seldon Chetter Hummin	1	PER
L'image de Trantor	1	PER
Raych Seldon	1	PER
ENCYCLOPAEDIA GALACTICA Assis	1	PER
Sacratorium de Mycogène Pas	1	PER
Mycogène Pas	1	PER
Cléon Et	1	PER
Mannix IV de Kan	1	PER
Comprenez-vous Daneel	1	PER
Yugo Amaryl Je	1	PER
Amaryl Je	1	PER
Hari Il	1	PER
Hari Y	1	PER
Cléon Ier	1	PER
Marbie Marbie	1	PER
Alem Marbie	1	PER
Alem Ça	1	PER
Alem C'est	1	PER
Étendezvous Seldon Mettez-vous	1	PER
Seldon Mettez-vous	1	PER
Anacréon	1	PER
Trantor Capitale	1	PER
Trantor Elle	1	PER
Quarante	1	PER
Trantor Chacun	1	PER
Trantor Malgré	1	PER
Trantor D'une	1	PER
Trantor Et	1	PER
Streeling en Strelitzia Suaverose	1	PER
Strelitzia Suaverose	1	PER
Suaverose	1	PER
Seldon Demain	1	PER
Souvenez-vous	1	PER
Machinchose	1	PER
Poldark	1	PER
Sire Cléon	1	PER
Tambourinant	1	PER
Cléon Il	1	PER
Sire N'allez	1	PER
Sire Allons	1	PER
Seldon J'aime	1	PER
Lisung Randa	1	PER
Frus-tra-tion Randa	1	PER
Hari Qu'est-ce	1	PER
Kiangtow Randa Seldon	1	PER
Randa Seldon	1	PER
Randa-là Oui C'est	1	PER
Lisung	1	PER
Jenarr Leggen Vous	1	PER
Taciturne C'est	1	PER
Exos Seldon	1	PER
Seldon Oh	1	PER
Clowzia Allez-y J'ai	1	PER
Seldon Clowzia	1	PER
JENARR Ses	1	PER
Controverse Leggen Que	1	PER
Jenarr Leggen Il	1	PER
Hari Seldon Il	1	PER
L'autre Héliconien	1	PER
Furieux Jenarr	1	PER
Jenarr Leggen	1	PER
Mycogène MYCOGÈNE Secteur	1	PER
MYCOGÈNE Secteur	1	PER
Trantor Enfouie	1	PER
Primo	1	PER
Couverture Si Randa	1	PER
Redites-moi	1	PER
Hestelonia Kan Ziggoreth	1	PER
Ziggoreth	1	PER
Damiano Nord Et	1	PER
Seldon J'aurais	1	PER
Mycogène Et	1	PER
Secteur de Mycogène	1	PER
Trantor Comme	1	PER
Endor Levanian	1	PER
Hari J'aimerais	1	PER
MYCOGÈNE Ils	1	PER
Seldon Hélicon	1	PER
MYCOGÈNE	1	PER
Hari Règle	1	PER
Seldon	493	MISC
Enderby	64	ORG
Raych	59	UNK
Jessie	53	MISC
Spacetown	42	MISC
Terre	40	LOC
Lije	33	MISC
Terriens	31	LOC
Tisalver	31	UNK
S'il	28	UNK
Clousarr	28	LOC
Couverture	27	MISC
Fastolfe	24	ORG
Galaxie	24	UNK
Leggen	24	LOC
J'en	23	UNK
Quarante-trois	22	UNK
Billibotton	21	LOC
Hélicon	20	UNK
Avez-vous	19	UNK
Livre	19	UNK
New York	16	LOC
York	16	LOC
Bentley	16	LOC
Davan	16	UNK
Gerrigel	15	MISC
Frère	15	UNK
Personne	14	UNK
Mycogéniens	14	MISC
Maître-du-Soleil Quatorze	14	LOC
Mondes Extérieurs	13	UNK
Extérieurs	13	UNK
J'aurais	12	UNK
Toilettes	12	LOC
L'homme	11	UNK
D'une	11	UNK
Marron	11	LOC
Loi	10	MISC
Exos	10	UNK
Rittah	10	LOC
Clowzia	10	LOC
Dr Gerrigel	9	MISC
Première Loi	9	MISC
Savez-vous	9	UNK
J'aimerais	9	UNK
D'un	9	UNK
N'est-ce	9	UNK
J'espère	9	UNK
Seldon C'est	9	MISC
Streeling	9	LOC
Maître-du-Soleil	9	LOC
Seldon Je	9	LOC
J'avais	8	UNK
Voulez-vous	8	UNK
As-tu	8	UNK
Spacien	8	LOC
Quarante-cinq	8	UNK
Monde	8	ORG
Ancien	8	UNK
Maire	8	UNK
Quelqu'un	6	UNK
Qu'y	6	UNK
Laissez-moi	6	UNK
Robotique	6	MISC
Dieu	6	MISC
J'étais	6	UNK
Empereur	6	UNK
Palais	6	LOC
S'ils	6	UNK
GALACTICA	6	LOC
D'après	6	UNK
Seldon Vous	6	LOC
Seldon Il	6	LOC
Pouvez-vous	6	UNK
J'y	5	UNK
Médiévale	5	LOC
Lois	5	UNK
Bible	5	MISC
Croyez-vous	5	LOC
J'imagine	5	UNK
Puis-je	5	UNK
Elie	5	MISC
D'ailleurs	5	UNK
Galactique	5	UNK
Empereurs	5	UNK
ENCYCLOPAEDIA GALACTICA	5	LOC
Aurora	5	UNK
Seldon Elle	5	LOC
Anciens	5	UNK
Dahlites	5	ORG
Maître Seldon	5	MISC
L'un	5	UNK
Trantoriens	5	LOC
Sergent	5	ORG
Secteur	5	UNK
L'idée	5	UNK
Excusez-moi	4	UNK
C'étaient	4	UNK
Lije Il	4	MISC
A-t-il	4	UNK
Ville	4	UNK
N'importe	4	UNK
Williamsburg	4	LOC
D'accord	4	UNK
Êtes-vous	4	UNK
L'Empire	4	LOC
D'abord	4	UNK
Seldon Nous	4	LOC
Exo	4	LOC
Lije Mais	3	MISC
Lije Vous	3	UNK
Londres	3	LOC
Monsieur	3	UNK
Jusqu'à	3	UNK
Pardonnez-moi	3	UNK
Dites-moi	3	UNK
Enchanté	3	UNK
Médiévalisme	3	UNK
L'air	3	UNK
Qu'entendez-vous	3	UNK
D'où	3	UNK
Bande-céleste Deux	3	UNK
Libre	3	UNK
Sœurs	3	UNK
Qu'ils	3	UNK
L'intéressé	3	UNK
Maître Seldon C'est	3	UNK
Seldon Un	3	MISC
Marbie	3	MISC
Cinna	3	MISC
Grisnuage	3	UNK
Spacetown Baley	2	UNK
Don Quichotte	2	MISC
Quichotte	2	MISC
J'ignorais	2	UNK
L'opération	2	UNK
L'ennui	2	UNK
Baley Tout	2	MISC
Prétendez-vous	2	UNK
L'humanité	2	UNK
Etes-vous	2	UNK
Spacetown Je	2	MISC
Klemin	2	LOC
Newark	2	LOC
Trenton	2	LOC
L'odeur	2	UNK
Baley C'est	2	MISC
Clousarr Il	2	LOC
L'une	2	UNK
L'assassin	2	UNK
Baley Vous	2	MISC
Jessie Je	2	MISC
Vingt	2	UNK
Spaciens Il	2	LOC
Terre Je	2	LOC
L'image	2	UNK
Terre Vous	2	LOC
New York Baley	2	UNK
York Baley	2	MISC
Barrière Il	2	LOC
Lorsqu'il	2	UNK
Voyez-vous	2	UNK
J'avoue	2	UNK
Etats	2	LOC
Jessie Tout	2	MISC
L'appartement	2	UNK
Fastolfe Et	2	LOC
Fastolfe Ce	2	LOC
Enderby Je	2	UNK
Qu'avez-vous	2	UNK
Croyez-moi	2	LOC
Ier	2	UNK
Seldon On	2	LOC
Soleil	2	LOC
Empire	2	LOC
Congrès	2	UNK
Laissezmoi	2	UNK
Galaxie Je	2	UNK
Galaxie Il	2	LOC
Hari C'est	2	LOC
Écoutez Dors	2	MISC
Seldon Ce	2	LOC
L'édifice	2	UNK
Étrange	2	UNK
Hari Vous	2	LOC
Seldon Puis	2	LOC
Sacratorium Et	2	UNK
Fils	2	UNK
L'autre	2	UNK
L'âge	2	UNK
Cinna Et	2	MISC
Hari Je	2	LOC
Question	2	UNK
Frères	2	UNK
J'essaie	2	UNK
Mettez-vous	2	UNK
Tisalver Elle	2	UNK
Jirad	2	UNK
Casilia Tisalver	2	UNK
Dahlites Ils	2	ORG
Qu'on	2	UNK
Impériaux	2	LOC
T'as	2	UNK
Pouvons-nous	2	MISC
J'suis	2	UNK
J'vais	2	UNK
Raych Et	2	UNK
Z'êtes	2	UNK
Attention	2	UNK
Pourrait-il	2	UNK
J'peux	2	UNK
Seldon Et	2	LOC
N'est-il	2	UNK
N'allez	2	UNK
Raych Tu	2	UNK
Coup	2	UNK
Mairie	2	UNK
Résultat	2	UNK
L'esquisse	2	UNK
Zéro	2	MISC
Seldon Ayant	2	LOC
D'ici	2	UNK
Trantorien Je	2	LOC
Auraient-ils	2	UNK
Fuite	2	UNK
Allez-vous	2	UNK
Réseau	2	UNK
Hari Nous	2	LOC
Désolé	2	UNK
Couverture C'est	2	MISC
Couverture Rien	2	UNK
Ç'aurait	2	UNK
Leggen Que	2	ORG
Leggen Il	2	ORG
Fraternité	2	UNK
Gouttede-Pluie Quarante-trois	2	UNK
Simpson	1	MISC
Barrett Ah	1	UNK
Service Pauvre	1	MISC
JULIUS ENDERBY C'était	1	MISC
ENDERBY C'était	1	MISC
COMMISSAIRE PRINCIPAL DE POLICE DE NEW	1	MISC
PRINCIPAL DE POLICE DE NEW YORK	1	MISC
POLICE DE NEW YORK Baley	1	MISC
NEW YORK Baley	1	UNK
YORK Baley	1	MISC
Baley Sans	1	MISC
Enderby C'est	1	UNK
Lije A	1	LOC
City Hall Building	1	LOC
Hall Building	1	LOC
Building	1	LOC
Vues	1	UNK
Space	1	MISC
Town	1	LOC
Qu'allez-vous	1	UNK
Spacien Et	1	LOC
Personne Quelqu'un	1	UNK
Los Angeles Il	1	LOC
Angeles Il	1	LOC
Berlin Il	1	LOC
Shanghai C'est	1	LOC
Maison-Blanche	1	UNK
Caisse	1	UNK
Spacetown Eh	1	UNK
Lije C Entendu	1	MISC
J'accepte	1	UNK
C'est-à-dire	1	UNK
L'action	1	UNK
Trinité	1	MISC
Brighton à Norwich	1	LOC
Norwich	1	LOC
Coventry à Canterbury	1	LOC
Canterbury	1	LOC
Baley Ce	1	MISC
Spacetown Lije	1	UNK
Section Q C'est	1	ORG
Q C'est	1	UNK
Fe Une	1	LOC
L'introduction	1	UNK
Terre Quelquefois	1	LOC
Saturne Je	1	LOC
Comptez-vous	1	LOC
Mondes Extérieurs C'est	1	UNK
Extérieurs C'est	1	UNK
Washington à Toronto à Los Angeles	1	LOC
Toronto à Los Angeles à Londres	1	LOC
Los Angeles à Londres	1	LOC
Angeles à Londres	1	LOC
Budapest	1	LOC
Shanghai à Tachkent	1	LOC
Tachkent	1	LOC
Winnipeg à Buenos Aires	1	LOC
Buenos Aires	1	LOC
Aires	1	UNK
Mondes Extérieurs Mais	1	MISC
Extérieurs Mais	1	UNK
Préfecture de Police Inutile	1	LOC
Police Inutile	1	MISC
Service	1	UNK
L'employée	1	UNK
DF Tandis	1	LOC
Baley J'ai	1	MISC
S'habituait-il	1	UNK
Fastolfe Si	1	ORG
Zoo	1	UNK
Francisco	1	MISC
Caire Il	1	LOC
Sont-ils	1	UNK
Grimpons	1	LOC
L'appareil	1	UNK
Passez-moi Jessie	1	MISC
N'as-tu	1	UNK
Jessie Et	1	MISC
Garçon	1	UNK
Dis-lui	1	UNK
Gerrigel à Washington C'est	1	LOC
Washington C'est	1	LOC
Clousarr Deux	1	LOC
Philadelphie	1	LOC
Frankenstein Qu'est-ce	1	MISC
Première Loi Et	1	MISC
Loi Et	1	UNK
Robotique des Mondes Extérieurs	1	MISC
Pourraient-ils	1	UNK
Première Loi Ils	1	MISC
Loi Ils	1	UNK
Deuxième	1	MISC
Gerrigel Je	1	UNK
D'accord Mais	1	UNK
Gerrigel Oui Je	1	UNK
Première Loi Je	1	MISC
Loi Je	1	UNK
Première Loi Mon	1	MISC
Loi Mon	1	UNK
Baley Aucun	1	MISC
Lije Et	1	MISC
Mercure	1	LOC
Lije Mange	1	MISC
Baley Un	1	MISC
Fastolfe R Daneel	1	UNK
D'accord C'est	1	UNK
Lizzy	1	MISC
Myers	1	UNK
Spaciens Ces	1	LOC
D'autre	1	UNK
Préfecture	1	UNK
Newark New Brunswick	1	LOC
New Brunswick	1	UNK
Brunswick	1	LOC
Trenton C'était	1	LOC
New Jersey	1	LOC
Jersey	1	LOC
Alleghanis	1	LOC
Groupe CG	1	ORG
L'ouvrier	1	UNK
Zymologiste	1	UNK
Saccharomyces Olei Benedictae	1	LOC
Olei Benedictae	1	LOC
Benedictae	1	UNK
Bronx On	1	LOC
Niez-vous	1	UNK
Clousarr Daneel Oui	1	UNK
Posez-le	1	UNK
Clousarr Voyons Clousarr	1	LOC
Laissez-le	1	UNK
Dites-lui	1	UNK
Clousarr Qui	1	LOC
Médiévalistes Clousarr	1	UNK
Clousarr Vous	1	LOC
Ciel Je	1	UNK
Enderby Elijah	1	ORG
Francis Si	1	UNK
Clousarr Ils	1	LOC
L'inspecteur	1	UNK
Clousarr Ah Qu'est-ce	1	UNK
Fastolfe Je	1	LOC
Gerrigel J'ai	1	UNK
Baley On	1	MISC
Bizarre	1	UNK
Baley C'était	1	MISC
Docteur Gerrigel	1	MISC
Centrale	1	LOC
Police	1	ORG
Détrompez-vous	1	UNK
Spacetown Mais	1	MISC
Ciel Pourquoi	1	UNK
Terre Nous	1	LOC
Fe Vos	1	UNK
Clousarr Alors	1	LOC
Terre Ils	1	LOC
Parviendrait-il	1	UNK
Plein	1	UNK
Williamsburg Lije Hier	1	LOC
Lije Hier	1	UNK
J'allais	1	UNK
Lije Ca	1	UNK
Jessie Comment	1	UNK
Lije Je	1	MISC
Lije Eh	1	MISC
Clousarr Etait-il	1	LOC
Etait-il	1	UNK
Lije Attendez	1	UNK
Dr Sarton Nous	1	UNK
Sarton Nous	1	MISC
Rendez-moi	1	UNK
N'essayez	1	UNK
Ecoutez-moi	1	MISC
L'incident	1	UNK
J'affirme	1	UNK
N'estce	1	UNK
Fe Je	1	UNK
Toilettes R Sammy	1	MISC
Bentley Oui	1	LOC
Spacetown Moi	1	MISC
Terre Alors	1	LOC
Retour	1	UNK
Fastolfe Ils	1	ORG
Comprenez-vous	1	UNK
Aideznous	1	UNK
Enderby Non	1	UNK
Expliquez-leur	1	UNK
Spacetown Après	1	LOC
New Yorkais	1	LOC
Yorkais	1	LOC
Long Island	1	LOC
Island	1	LOC
Los Angeles	1	LOC
Angeles	1	LOC
Shanghaï Or	1	LOC
New York City Ce	1	LOC
York City Ce	1	LOC
City Ce	1	MISC
VILLE Il	1	UNK
L'énorme	1	UNK
Newark Or	1	LOC
L'agent	1	UNK
Spacien Je	1	LOC
J'ose	1	UNK
Da Daneel Est-ce	1	MISC
Spacien Ah	1	LOC
Montons Quand	1	LOC
Police On	1	UNK
Mettez-les	1	UNK
Cassez-les	1	LOC
N'ai-je	1	UNK
RO-BOTS	1	UNK
Arrêtez-les	1	UNK
Arrêtez-les Ce	1	UNK
ROBOT	1	ORG
Mondes Extérieurs les Terriens	1	LOC
Extérieurs les Terriens	1	LOC
S'apercevant	1	UNK
Jessica Vous	1	UNK
Bible Eh	1	UNK
L'Histoire	1	UNK
Jéhovah	1	MISC
Premier Livre des Rois	1	MISC
Livre des Rois	1	MISC
Rois	1	UNK
Baal	1	MISC
Baalites	1	MISC
Naboth Lije Voilà	1	UNK
Lije Voilà	1	LOC
Naboth Si	1	UNK
Junior Je	1	MISC
Elie Evidemment	1	MISC
TOILETTES HOMMES	1	MISC
HOMMES	1	MISC
SUBDIVISIONS IA IE Enfin	1	MISC
IA IE Enfin	1	UNK
IE Enfin	1	UNK
Toilettes Si	1	LOC
L'animation	1	UNK
Attendez-moi	1	UNK
Toilettes Il	1	LOC
New York Comment	1	LOC
York Comment	1	LOC
Monde Extérieur Baley	1	ORG
Lije Ah	1	UNK
Jessie Continuant	1	UNK
Papa Je	1	UNK
Bentley Ce	1	ORG
Bentley Tu	1	ORG
Assieds-toi Bentley	1	UNK
N'ennuie	1	UNK
Sommes-nous	1	LOC
Mondes Extérieurs Même	1	UNK
Extérieurs Même	1	UNK
Dr Sarton C'était	1	UNK
Sarton C'était	1	MISC
Terrien Il	1	UNK
Baley Impossible Vous	1	MISC
Fe C Fe Qu'est-ce	1	MISC
Fe Qu'est-ce	1	MISC
C-Fe Avec	1	UNK
L'instruction	1	UNK
L'entrée de Spacetown	1	MISC
New York à Spacetown	1	LOC
York à Spacetown	1	LOC
New York Puis	1	UNK
York Puis	1	LOC
Spaciens Mais	1	LOC
Impensable Comme	1	UNK
Terriens N'est-ce	1	LOC
Jessie Elle	1	MISC
Dis-leur	1	UNK
Enderby Ah	1	UNK
L'administration	1	UNK
Dis-moi	1	UNK
Excuse-moi	1	UNK
J'écoutais Il	1	UNK
Plastofilm Où	1	UNK
Lije Ne	1	MISC
Jessie Plus	1	UNK
Jessie Qu'est-ce	1	MISC
Veux-tu	1	UNK
Spacetown A Spacetown	1	UNK
L'abondance	1	UNK
New York Tels	1	LOC
York Tels	1	LOC
L'autoroute	1	UNK
Toilettes Celles-ci	1	LOC
Celles-ci	1	UNK
Aurore Je	1	UNK
Permettez-moi	1	MISC
New York Si	1	UNK
York Si	1	LOC
Enderby Un	1	UNK
Lije J'ai	1	MISC
Toilettes Enderby	1	ORG
Fe Ce	1	LOC
Fastolfe Cette	1	LOC
Personne Pas	1	UNK
Fastolfe Quels	1	UNK
Enderby Baley	1	ORG
Enderby Après	1	LOC
Washington Nous	1	LOC
Comportait-elle	1	UNK
Fastolfe Où	1	UNK
Lije C'est	1	MISC
Monsieur Baley	1	UNK
Fastolfe Jamais	1	UNK
Baley Nous	1	MISC
Spaciens Ceux	1	LOC
Vous-même	1	UNK
Terriens Je	1	LOC
L'existence	1	UNK
Terre Et	1	LOC
Surpopulation	1	UNK
J'utilise	1	UNK
Aurore	1	UNK
L'accroissement	1	UNK
Monde Extérieur	1	ORG
Extérieur	1	UNK
Amérique	1	LOC
Mondes Nouveaux C'est	1	MISC
Nouveaux C'est	1	UNK
Fastolfe Il	1	ORG
N'était-il	1	UNK
Entun Né	1	UNK
ENCYCLOPAEDIA GALACTICA Étouffant	1	LOC
GALACTICA Étouffant	1	LOC
Galactica	1	ORG
Société	1	UNK
Galactica Terminus	1	UNK
Terminus	1	LOC
Sciences Effectivement Il	1	MISC
Sciences	1	UNK
Inconnus	1	UNK
L'analyse	1	UNK
Qu'ai-je	1	UNK
L'intime	1	UNK
Sire C'est	1	MISC
Sire Vous	1	MISC
Croyez-vous Je	1	LOC
Palais Vous	1	LOC
Livre HISTOIRE DE LA MAIN	1	MISC
HISTOIRE DE LA MAIN	1	MISC
MAIN SUR LA CUISSE Une	1	MISC
CUISSE Une	1	MISC
ENCYCLOPAEDIA GALACTICA Goutte-de-Pluie Quarante-trois	1	ORG
GALACTICA Goutte-de-Pluie Quarante-trois	1	LOC
Relaxez-vous Calmez-vous Je	1	MISC
Calmez-vous Je	1	UNK
Livre Enfin	1	UNK
Allez-y	1	UNK
N'en	1	UNK
Livre Ils	1	UNK
Savait-elle	1	UNK
J'espérais	1	UNK
Hari Tout	1	LOC
Frère Pire	1	MISC
J'avisai	1	UNK
J'approchai	1	UNK
Jennat	1	MISC
Livre Alors	1	UNK
Hélicon J'aimerais	1	MISC
Livre Il	1	UNK
Seldon Si	1	LOC
Terra Terra Est-ce	1	UNK
Terra Est-ce	1	LOC
Terra	1	ORG
T-E-R-R-A	1	UNK
Terre Seldon	1	LOC
Livre Et	1	UNK
Hari Et	1	LOC
Seldon Absolument Et	1	MISC
Vingt-deux Eh	1	UNK
